rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"28","42","Palo Alto","palo-alto-pa-5420","PA-5420","2","network","both","device-types/Palo Alto/PA-5420.yaml","network, front+rear image, 2U footprint"
"29","41","Juniper","juniper-ex2300-c-12p","EX2300-C-12P","1","network","both","device-types/Juniper/EX2300-C-12P.yaml","network, front+rear image, 1U footprint"
"30","41","Cisco","cisco-c1000-8t-2g-l","Catalyst 1000-8T-2G-L","1","network","both","device-types/Cisco/C1000-8T-2G-L.yaml","network, front+rear image, 1U footprint"
"31","41","Arista","arista-dcs-7020srg-24c2-f","DCS-7020SRG-24C2-F","1","network","both","device-types/Arista/DCS-7020SRG-24C2-F.yaml","network, front+rear image, 1U footprint"
"32","30","SonicWall","sonicwall-nsa-2650","NSa 2650","1","network","none","device-types/SonicWall/NSa2650.yaml","network, no image, 1U footprint"
"33","51","Ubiquiti","ubiquiti-unifi-switch-24-gen2","UniFi Switch 24 Gen2","1","network","none","device-types/Ubiquiti/USW-24.yaml","network, no image, 1U footprint"
"34","51","MikroTik","mikrotik-crs106-1c-5s","CRS106-1C-5S","1","network","none","device-types/MikroTik/CRS106-1C-5S.yaml","network, no image, 1U footprint"
"35","61","APC","apc-ap4431a","AP4431A","2","power","both","device-types/APC/AP4431A.yaml","power, front+rear image, 2U footprint"
"36","51","Eaton","eaton-tripp-lite-b096-032","Tripp Lite B096-032","1","power","both","device-types/Eaton/Tripp-Lite-B096-032.yaml","power, front+rear image, 1U footprint"
"37","30","Vertiv","vertiv-acs8016sac","ACS8016SAC","1","power","none","device-types/Vertiv/ACS8016SAC.yaml","power, no image, 1U footprint"
"38","52","Dell","dell-powerswitch-s4128f-on","PowerSwitch S4128F-ON","1","network","both","device-types/Dell/PowerSwitch-S4128F-ON.yaml","network, front+rear image, 1U footprint"
"39","47","Supermicro","supermicro-sys-5019d-fn8tp","SuperServer 5019D-FN8TP","1","server","single","device-types/Supermicro/SYS-5019D-FN8TP.yaml","server, single-side image, 1U footprint"
"40","51","HPE","hpe-aruba-2530-8g-poep","Aruba 2530-8G-PoE+","1","server","both","device-types/HPE/Aruba-2530-8G-PoEP.yaml","server, front+rear image, 1U footprint"
"41","40","Netgear","netgear-m4250-26g4xf-poe-plus","M4250-26G4XF-PoE+ (GSM4230P)","1","network","none","device-types/Netgear/m4250-26g4xf-poep-gsm4230p.yaml","network, no image, 1U footprint"
"42","43","Fortinet","fortinet-fs-3032e","FortiSwitch 3032E","1","network","both","device-types/Fortinet/FS-3032E.yaml","network, front+rear image, 1U footprint"
"43","42","Palo Alto","palo-alto-pa-5430","PA-5430","2","network","both","device-types/Palo Alto/PA-5430.yaml","network, front+rear image, 2U footprint"
"44","41","Juniper","juniper-ex3400-48p","EX3400-48P","1","network","both","device-types/Juniper/EX3400-48P.yaml","network, front+rear image, 1U footprint"
"45","41","Cisco","cisco-c1300-12xs","Catalyst 1300-12XS","1","network","both","device-types/Cisco/C1300-12XS.yaml","network, front+rear image, 1U footprint"
"46","41","Arista","arista-dcs-7020tr-48-f","DCS-7020TR-48-F","1","network","both","device-types/Arista/DCS-7020TR-48-F.yaml","network, front+rear image, 1U footprint"
"47","30","SonicWall","sonicwall-nsa-2700","NSa 2700","1","network","none","device-types/SonicWall/NSa2700.yaml","network, no image, 1U footprint"
"48","51","Ubiquiti","ubiquiti-unifi-switch-24-poe-gen2","UniFi Switch 24 PoE Gen2","1","network","none","device-types/Ubiquiti/USW-24-PoE.yaml","network, no image, 1U footprint"
"49","51","MikroTik","mikrotik-crs109-8g-1s-2hnd-in","CRS109-8G-1S-2HnD-IN","1","network","none","device-types/MikroTik/CRS109-8G-1S-2HnD-IN.yaml","network, no image, 1U footprint"
"50","61","APC","apc-ap4432a","AP4432A","2","power","both","device-types/APC/AP4432A.yaml","power, front+rear image, 2U footprint"
"51","51","Eaton","eaton-tripp-lite-b097-016","Tripp Lite B097-016","1","power","both","device-types/Eaton/Tripp-Lite-B097-016.yaml","power, front+rear image, 1U footprint"
"52","30","Vertiv","vertiv-acs8032sac","ACS8032SAC","1","power","none","device-types/Vertiv/ACS8032SAC.yaml","power, no image, 1U footprint"
"53","48","Dell","dell-powerswitch-n1548","PowerSwitch N1548","1","network","single","device-types/Dell/PowerSwitch-N1548.yaml","network, single-side image, 1U footprint"
"54","40","Supermicro","supermicro-iot-superserver-sys-510d-8c-fn6p","IoT SuperServer SYS-510D-8C-FN6P","1","server","none","device-types/Supermicro/SYS-510D-8C-FN6P.yaml","server, no image, 1U footprint"
